gate_number,status,current_flight,departure_time,available_time,notes
1,Occupied,WN4567,16:30,16:45,Southwest departure to LAX
3,Occupied,DL9876,,14:00,Ready for assignment
5,Occupied,WN8901,17:15,17:30,Southwest departure to LAS
7,Available,,,15:30,Ready for assignment
9,Occupied,AS3456,16:00,16:15,Alaska departure to SEA
11,Occupied,WN2345,,14:30,Ready for assignment
13,Occupied,WN2345,18:00,18:15,Southwest departure to PHX
15,Occupied,AS7890,,16:00,Ready for assignment
17,Occupied,WN1234,,15:45,Ready for assignment
19,Occupied,WN7890,17:30,17:45,Southwest departure to DEN
21,Occupied,AS1122,,16:30,Ready for assignment
23,Available,,,15:00,Ready for assignment
30,Occupied,AA1234,16:45,17:00,American departure to JFK
32,Occupied,AA5678,,15:15,Ready for assignment
34,Occupied,VX567,17:00,17:15,Virgin departure to LAX
36,Available,,,16:15,Ready for assignment
38,Occupied,UA2567,,14:45,Ready for assignment
40,Occupied,AA8901,18:30,18:45,American departure to MIA
42,Available,,,17:00,Ready for assignment
44,Occupied,AA8901,,15:30,Ready for assignment
46,Occupied,VX234,16:30,16:45,Virgin departure to SEA
48,Available,,,16:45,Ready for assignment
50,Available,,,15:45,Ready for assignment
52,Occupied,DL456,17:45,18:00,Delta departure to ATL
54,Available,,,16:30,Ready for assignment
56,Available,,,17:15,Ready for assignment
58,Occupied,AA345,18:15,18:30,American departure to ORD
70,Available,,,15:00,Ready for assignment
72,Occupied,UA567,16:15,16:30,United departure to DEN
74,Available,,,17:30,Ready for assignment
76,Occupied,UA890,17:00,17:15,United departure to ORD
78,Available,,,16:00,Ready for assignment
80,Available,,,15:45,Ready for assignment
82,Occupied,UA123,18:45,19:00,United departure to IAH
84,Available,,,17:45,Ready for assignment
86,Available,,,16:45,Ready for assignment
88,Occupied,UA456,17:30,17:45,United departure to LAX
90,Available,,,18:00,Ready for assignment
A1,Occupied,SQ0019,,16:30,Ready for assignment
A3,Occupied,BA286,19:30,19:45,British Airways departure to LHR
A5,Occupied,NH0007,,17:00,Ready for assignment
A7,Occupied,BA0285,,15:30,Ready for assignment
A9,Occupied,LH442,20:00,20:15,Lufthansa departure to FRA
A11,Occupied,UA0870,,18:30,Ready for assignment
A13,Occupied,VS0041,,17:15,Ready for assignment
A15,Occupied,AF084,19:15,19:30,Air France departure to CDG
G1,Occupied,LH0441,,16:00,Ready for assignment
G3,Occupied,SQ020,21:00,21:15,Singapore Airlines departure to SIN
G5,Occupied,KL0606,,18:15,Ready for assignment
G7,Occupied,DL3456,,17:30,Ready for assignment
G9,Occupied,CX880,20:30,20:45,Cathay Pacific departure to HKG
G11,Available,,,19:00,Ready for assignment
G13,Occupied,AF0083,,18:45,Ready for assignment 
